id,review_text_clean,prevision,probabilidad,probabilidad_ml_puro,nota
28,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche.",Negativo,0.0,0.2038,G68: Prioridad de queja detectada
29,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible.",Negativo,0.0011,0.0011,G68: Prioridad de queja detectada
30,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal.",Negativo,0.3733,0.3733,G68: Prioridad de queja detectada
31,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche.",Negativo,0.402,0.777,G68: Prioridad de queja detectada
32,"No se como calificarlo. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, experiencia terrible.",Neutro,0.5129,0.1279,G68: Experiencia mixta o ambigua
33,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible.",Negativo,0.0272,0.0272,G68: Prioridad de queja detectada
34,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche.",Negativo,0.0902,0.4652,G68: Prioridad de queja detectada
35,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche.",Negativo,0.0,0.2038,G68: Prioridad de queja detectada
36,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero hay mucha suciedad, experiencia terrible.",Positivo,1.0,0.7211,G68: Satisfaccion validada por encima del sesgo
37,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible.",Negativo,0.0846,0.0846,G68: Prioridad de queja detectada
38,"Mi estancia fue mixta. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, es aceptable para una noche.",Positivo,0.9597,0.9497,G68: Satisfaccion validada por encima del sesgo
39,"No se como calificarlo. la vista era increible y el diseno excelente, pero el bano era un asco, el precio es normal.",Positivo,0.8379,0.4529,G68: Satisfaccion validada por encima del sesgo
40,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche.",Negativo,0.0,0.3363,G68: Prioridad de queja detectada
41,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche.",Negativo,0.402,0.777,G68: Prioridad de queja detectada
42,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible.",Negativo,0.4116,0.0266,G68: Prioridad de queja detectada
43,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, el precio es normal.",Negativo,0.0789,0.0789,G68: Prioridad de queja detectada
44,"Mi estancia fue mixta. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, el precio es normal.",Positivo,1.0,0.9613,G68: Satisfaccion validada por encima del sesgo
45,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, experiencia terrible.",Negativo,0.0038,0.0038,G68: Prioridad de queja detectada
46,"No se como calificarlo. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, el precio es normal.",Positivo,1.0,0.8157,G68: Satisfaccion validada por encima del sesgo
47,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero hay mucha suciedad, el precio es normal.",Positivo,1.0,0.7638,G68: Satisfaccion validada por encima del sesgo
48,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible.",Positivo,0.7191,0.3341,G68: Satisfaccion validada por encima del sesgo
49,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal.",Negativo,0.2679,0.2679,G68: Prioridad de queja detectada
50,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, el precio es normal.",Positivo,0.9532,0.5682,G68: Satisfaccion validada por encima del sesgo
51,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche.",Neutro,0.4897,0.8647,G68: Experiencia mixta o ambigua
52,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal.",Negativo,0.3733,0.3733,G68: Prioridad de queja detectada
53,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible.",Negativo,0.0026,0.0026,G68: Prioridad de queja detectada
54,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal.",Negativo,0.2679,0.2679,G68: Prioridad de queja detectada
55,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible.",Positivo,0.7191,0.3341,G68: Satisfaccion validada por encima del sesgo
56,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche.",Negativo,0.0154,0.3904,G68: Prioridad de queja detectada
57,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero hay mucha suciedad, es aceptable para una noche.",Positivo,0.9577,0.9477,G68: Satisfaccion validada por encima del sesgo
58,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche.",Negativo,0.3301,0.7051,G68: Prioridad de queja detectada
59,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche.",Negativo,0.3301,0.7051,G68: Prioridad de queja detectada
60,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche.",Neutro,0.5443,0.9193,G68: Experiencia mixta o ambigua
61,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, el precio es normal.",Negativo,0.2318,0.2318,G68: Prioridad de queja detectada
62,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible.",Negativo,0.0006,0.0006,G68: Prioridad de queja detectada
63,"Mi estancia fue mixta. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, es aceptable para una noche.",Positivo,0.9597,0.9497,G68: Satisfaccion validada por encima del sesgo
64,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, el precio es normal.",Negativo,0.0616,0.0616,G68: Prioridad de queja detectada
65,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero hay mucha suciedad, es aceptable para una noche.",Positivo,0.9838,0.9738,G68: Satisfaccion validada por encima del sesgo
66,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, es aceptable para una noche.",Positivo,0.8036,0.7936,G68: Satisfaccion validada por encima del sesgo
67,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche.",Negativo,0.0902,0.4652,G68: Prioridad de queja detectada
68,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal.",Positivo,0.8494,0.8494,G68: Satisfaccion validada por encima del sesgo
69,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible.",Negativo,0.0026,0.0026,G68: Prioridad de queja detectada
70,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche.",Negativo,0.0,0.3363,G68: Prioridad de queja detectada
71,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche.",Negativo,0.0154,0.3904,G68: Prioridad de queja detectada
72,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche.",Negativo,0.0,0.2038,G68: Prioridad de queja detectada
73,"Llegamos con expectativas. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, es aceptable para una noche.",Positivo,0.943,0.933,G68: Satisfaccion validada por encima del sesgo
74,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible.",Positivo,0.7191,0.3341,G68: Satisfaccion validada por encima del sesgo
75,"Llegamos con expectativas. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, el precio es normal.",Positivo,1.0,0.7819,G68: Satisfaccion validada por encima del sesgo
76,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero hay mucha suciedad, es aceptable para una noche.",Positivo,0.9577,0.9477,G68: Satisfaccion validada por encima del sesgo
77,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible.",Negativo,0.4116,0.0266,G68: Prioridad de queja detectada
78,"No se como calificarlo. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible.",Negativo,0.4259,0.0409,G68: Prioridad de queja detectada
79,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible.",Negativo,0.0011,0.0011,G68: Prioridad de queja detectada
80,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche.",Neutro,0.5443,0.9193,G68: Experiencia mixta o ambigua
81,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche.",Negativo,0.0902,0.4652,G68: Prioridad de queja detectada
82,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, el precio es normal.",Positivo,0.8286,0.8286,G68: Satisfaccion validada por encima del sesgo
83,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible.",Negativo,0.0006,0.0006,G68: Prioridad de queja detectada
84,"No se como calificarlo. la vista era increible y el diseno excelente, pero hay mucha suciedad, el precio es normal.",Positivo,1.0,0.8982,G68: Satisfaccion validada por encima del sesgo
85,"Mi estancia fue mixta. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, es aceptable para una noche.",Positivo,0.9597,0.9497,G68: Satisfaccion validada por encima del sesgo
86,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, experiencia terrible.",Negativo,0.1219,0.1219,G68: Prioridad de queja detectada
87,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, el precio es normal.",Positivo,1.0,0.9012,G68: Satisfaccion validada por encima del sesgo
88,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, el precio es normal.",Positivo,0.8286,0.8286,G68: Satisfaccion validada por encima del sesgo
89,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero hay mucha suciedad, es aceptable para una noche.",Positivo,0.9577,0.9477,G68: Satisfaccion validada por encima del sesgo
90,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero hay mucha suciedad, experiencia terrible.",Positivo,1.0,0.7211,G68: Satisfaccion validada por encima del sesgo
91,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, experiencia terrible.",Negativo,0.0032,0.0032,G68: Prioridad de queja detectada
92,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible.",Negativo,0.0026,0.0026,G68: Prioridad de queja detectada
93,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche.",Negativo,0.0154,0.3904,G68: Prioridad de queja detectada
94,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, el precio es normal.",Positivo,0.8286,0.8286,G68: Satisfaccion validada por encima del sesgo
95,"No se como calificarlo. la vista era increible y el diseno excelente, pero el bano era un asco, el precio es normal.",Positivo,0.8379,0.4529,G68: Satisfaccion validada por encima del sesgo
96,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, es aceptable para una noche.",Positivo,0.8732,0.8632,G68: Satisfaccion validada por encima del sesgo
97,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible.",Negativo,0.0272,0.0272,G68: Prioridad de queja detectada
98,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible.",Negativo,0.0272,0.0272,G68: Prioridad de queja detectada
99,"Mi estancia fue mixta. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, experiencia terrible.",Positivo,1.0,0.686,G68: Satisfaccion validada por encima del sesgo
100,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal.",Negativo,0.2679,0.2679,G68: Prioridad de queja detectada
