id,review_text_clean
41,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche."
42,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible."
43,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, el precio es normal."
44,"Mi estancia fue mixta. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, el precio es normal."
45,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, experiencia terrible."
46,"No se como calificarlo. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, el precio es normal."
47,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero hay mucha suciedad, el precio es normal."
48,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible."
49,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal."
50,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, el precio es normal."
51,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche."
52,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal."
53,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible."
54,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal."
55,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible."
56,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche."
57,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero hay mucha suciedad, es aceptable para una noche."
58,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche."
59,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche."
60,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche."
61,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, el precio es normal."
62,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible."
63,"Mi estancia fue mixta. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, es aceptable para una noche."
64,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, el precio es normal."
65,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero hay mucha suciedad, es aceptable para una noche."
66,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, es aceptable para una noche."
67,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche."
68,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal."
69,"Llegamos con expectativas. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible."
70,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche."
71,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche."
72,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, es aceptable para una noche."
73,"Llegamos con expectativas. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, es aceptable para una noche."
74,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible."
75,"Llegamos con expectativas. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, el precio es normal."
76,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero hay mucha suciedad, es aceptable para una noche."
77,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible."
78,"No se como calificarlo. la vista era increible y el diseno excelente, pero el bano era un asco, experiencia terrible."
79,"No se como calificarlo. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible."
80,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche."
81,"No se como calificarlo. el personal fue sumamente profesional, pero hay mucha suciedad, es aceptable para una noche."
82,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, el precio es normal."
83,"Llegamos con expectativas. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible."
84,"No se como calificarlo. la vista era increible y el diseno excelente, pero hay mucha suciedad, el precio es normal."
85,"Mi estancia fue mixta. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, es aceptable para una noche."
86,"Mi estancia fue mixta. el personal fue sumamente profesional, pero hay mucha suciedad, experiencia terrible."
87,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, el precio es normal."
88,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, el precio es normal."
89,"Llegamos con expectativas. la vista era increible y el diseno excelente, pero hay mucha suciedad, es aceptable para una noche."
90,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero hay mucha suciedad, experiencia terrible."
91,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, experiencia terrible."
92,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, experiencia terrible."
93,"No se como calificarlo. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, es aceptable para una noche."
94,"Mi estancia fue mixta. el personal fue sumamente profesional, aunque el mantenimiento es mediocre, el precio es normal."
95,"No se como calificarlo. la vista era increible y el diseno excelente, pero el bano era un asco, el precio es normal."
96,"Mi estancia fue mixta. la vista era increible y el diseno excelente, pero el bano era un asco, es aceptable para una noche."
97,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible."
98,"Mi estancia fue mixta. el personal fue sumamente profesional, pero el bano era un asco, experiencia terrible."
99,"Mi estancia fue mixta. la vista era increible y el diseno excelente, aunque el mantenimiento es mediocre, experiencia terrible."
100,"Llegamos con expectativas. el personal fue sumamente profesional, pero hay mucha suciedad, el precio es normal."
